datetime,sigai,bucket,index
2024-01-30 13:25:00,0.01090173,08:10 - 16:10,1215
2024-01-30 13:26:00,0.01088456,08:10 - 16:10,1215
2024-01-30 13:27:00,0.01085106,08:10 - 16:10,1215
2024-01-30 13:28:00,0.01083056,08:10 - 16:10,1215
2024-01-30 13:29:00,0.01080806,08:10 - 16:10,1215
2024-01-30 13:30:00,0.01078206,08:10 - 16:10,1215
2024-01-30 13:31:00,0.0107764,08:10 - 16:10,1215
2024-01-30 13:32:00,0.0107544,08:10 - 16:10,1215
2024-01-30 13:33:00,0.01072906,08:10 - 16:10,1215
2024-01-30 13:34:00,0.01070506,08:10 - 16:10,1215
2024-01-30 13:35:00,0.01068323,08:10 - 16:10,1215
2024-01-30 13:36:00,0.01066256,08:10 - 16:10,1215
2024-01-30 13:37:00,0.01065506,08:10 - 16:10,1215
2024-01-30 13:38:00,0.01062973,08:10 - 16:10,1215
2024-01-30 13:39:00,0.01062223,08:10 - 16:10,1215
2024-01-30 13:40:00,0.01059723,08:10 - 16:10,1215
2024-01-30 13:41:00,0.01057556,08:10 - 16:10,1215
2024-01-30 13:42:00,0.01055323,08:10 - 16:10,1215
2024-01-30 13:43:00,0.0105294,08:10 - 16:10,1215
2024-01-30 13:44:00,0.01052273,08:10 - 16:10,1215
2024-01-30 13:45:00,0.01050323,08:10 - 16:10,1215
2024-01-30 13:46:00,0.0104829,08:10 - 16:10,1215
2024-01-30 13:47:00,0.0104759,08:10 - 16:10,1215
2024-01-30 13:48:00,0.01045106,08:10 - 16:10,1215
2024-01-30 13:49:00,0.01044406,08:10 - 16:10,1215
2024-01-30 13:50:00,0.0104189,08:10 - 16:10,1215
2024-01-30 13:51:00,0.01040973,08:10 - 16:10,1215
2024-01-30 13:52:00,0.01038573,08:10 - 16:10,1215
2024-01-30 13:53:00,0.01037956,08:10 - 16:10,1215
2024-01-30 13:54:00,0.0103534,08:10 - 16:10,1215
2024-01-30 13:55:00,0.01034323,08:10 - 16:10,1215
2024-01-30 13:56:00,0.01031956,08:10 - 16:10,1215
2024-01-30 13:57:00,0.01031323,08:10 - 16:10,1215
2024-01-30 13:58:00,0.01030573,08:10 - 16:10,1215
2024-01-30 13:59:00,0.01029806,08:10 - 16:10,1215
2024-01-30 14:00:00,0.01027556,08:10 - 16:10,1215
2024-01-30 14:01:00,0.0102704,08:10 - 16:10,1215
2024-01-30 14:02:00,0.01025006,08:10 - 16:10,1215
2024-01-30 14:03:00,0.01024723,08:10 - 16:10,1215
2024-01-30 14:04:00,0.0102434,08:10 - 16:10,1215
2024-01-30 14:05:00,0.01023773,08:10 - 16:10,1215
2024-01-30 14:06:00,0.0102184,08:10 - 16:10,1215
2024-01-30 14:07:00,0.01021656,08:10 - 16:10,1215
2024-01-30 14:08:00,0.0101969,08:10 - 16:10,1215
2024-01-30 14:09:00,0.0101959,08:10 - 16:10,1215
2024-01-30 14:10:00,0.01019406,08:10 - 16:10,1215
2024-01-30 14:11:00,0.01016823,08:10 - 16:10,1215
2024-01-30 14:12:00,0.01015706,08:10 - 16:10,1215
